District,HIV_Prev_Total_pct,G_Star_Z_Score,P_Value,Hotspot_Type
South Dayi,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Tempane,0.6,-1.5887415647286987,0.11211875084214795,Not Significant
Ahafo Ano South East,1.9,-1.575022358845989,0.11525128370601401,Not Significant
Yunyoo Nasuan,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Nanton,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Assin Central Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Gomoa Central,2.1,0.23788829802121983,0.8119677318420171,Not Significant
Pru West,2.2,-0.023403382510030372,0.9813285068933575,Not Significant
Berekum West,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Ahafo Ano South West,1.9,0.14029218997360715,0.8884291347978066,Not Significant
Amansie South,1.9,0.23692962934372547,0.8127113834310942,Not Significant
Atwima Nwabiagya North,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Akrofuom,1.9,0.08593363032791558,0.9315191772472702,Not Significant
Adansi North,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Obuasi East,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Afigya Kwabre North,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Oforikrom Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Asokwa Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Old Tafo Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Suame Municipal,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Juaben Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Ablekuma Central Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Korle Klottey Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Ablekuma North Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Ayawaso North Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Ayawaso East Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Okaikoi North Municipal,2.5,0.7236428130967487,0.4692850500858774,Not Significant
Ga North Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Weija Gbawe Municipal,2.5,0.5624183067809999,0.573831049037314,Not Significant
Krowor Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Tema Metropolitan Area (TMA)-Tema Central & Tema East,2.5,0.723642813096749,0.4692850500858772,Not Significant
East Gonja Municipal,0.3,-0.5719673709024706,0.5673440802411873,Not Significant
Ablekuma West Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
Ayawaso Central Municipal,2.5,0.723642813096749,0.4692850500858772,Not Significant
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",2.5,0.723642813096749,0.4692850500858772,Not Significant
Anloga,2.1,0.39896821746565475,0.6899166228839237,Not Significant
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",2.7,0.9671767382884452,0.3334556887404434,Not Significant
Kwahu South Municipal,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Asene Manso Akroso,2.8,1.0891811110868848,0.2760740268816717,Not Significant
Upper Manya Krobo,2.8,1.0891811110868852,0.2760740268816715,Not Significant
Achiase,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Okere,2.8,0.8470369842443924,0.3969745072420452,Not Significant
Yilo Krobo Municipal,2.8,1.0891811110868852,0.2760740268816715,Not Significant
Atiwa West,2.8,1.0891811110868852,0.2760740268816715,Not Significant
New Juaben North Municipal,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Fanteakwa North,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Birim North,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Asuogyaman,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Kwahu East,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Kwahu East,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Lower Manya Krobo Municipal,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Nsawam Adoagyiri Municipal,2.8,0.8470369842443924,0.3969745072420452,Not Significant
Tano South Municipal,2.2,0.842521770361096,0.39949595908408075,Not Significant
Denkyembuor,2.8,1.0891811110868848,0.2760740268816717,Not Significant
Kwaebibirem Municipal,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Kwahu Afram Plains South,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Kwahu Afram Plains North,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Suhum Municipal,2.8,0.9438946349813891,0.3452234938963321,Not Significant
Ayensuano,2.8,0.9075730159550156,0.3641038563101169,Not Significant
Abuakwa South Municipal,2.8,1.0891811110868848,0.2760740268816717,Not Significant
Upper West Akim,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Upper West Akim,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Akyemansa,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Atiwa East,2.8,1.0891811110868852,0.2760740268816715,Not Significant
New Juaben South Municipal,2.8,0.9438946349813891,0.3452234938963321,Not Significant
Birim South,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Abuakwa North Municipal,2.8,1.0891811110868845,0.2760740268816715,Not Significant
Asunafo North Municipal,2.2,0.9391831827746178,0.34763670186228257,Not Significant
Fanteakwa South,2.8,1.0891811110868852,0.2760740268816715,Not Significant
Birim Central Municipal,2.8,1.0891811110868845,0.2760740268816715,Not Significant
