Region,District,Class,Latitude,Longitude,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Wife_Beating_Accept_pct,Adolescent_Fertility_Rate,Modern_Contraception_pct,Unmet_FP_Need_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct
Ashanti,Mampong Municipal,Municipal,7.056139,-1.40425,22.5,42.6,20.67,29.79,53.56,56.22,116632,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Obuasi East,Municipal,6.1796409,-1.60356394182495,13.1,42.7,15.48,17.4,51.29,54.67,92401,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Obuasi Municipal,Municipal,6.211542,-1.6894045,11.1,42.8,12.32,19.66,49.09,49.38,104297,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Offinso Municipal,Municipal,7.05794129999999,-1.73462655987467,23.5,42.8,24.85,30.81,51.11,63.75,137272,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Offinso North,District,7.27974815,-1.79832745610104,34.3,41.5,37.39,33.47,43.79,70.54,83440,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Oforikrom Municipal,Municipal,6.672717,-1.5504236985326,10.0,42.8,10.1,23.01,59.81,34.76,213126,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Old Tafo Municipal,Municipal,6.74083555,-1.60465968075918,9.2,42.9,11.73,24.65,45.31,50.11,114368,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Sekyere Afram Plains,District,7.20286155,-0.592081996515861,50.5,40.8,51.7,63.4,42.38,79.32,33226,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Sekyere Central,District,7.21625465,-1.09955606489201,39.8,42.4,33.02,52.34,47.72,67.01,73228,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Sekyere East,District,6.77947295,-1.29935419961981,17.3,42.5,17.21,23.59,50.74,60.19,74789,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
